filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./.github/langchain-tests/setup_actions.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,2,0,17,[2],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
./.github/langchain-tests/setup_actions.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,13,8,43,[13],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",36,0,8,"[36, 37]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",42,0,8,"[42, 43]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_code_analysis.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_deeplake.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,43,29,55,[43],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
./.github/langchain-tests/test_activeloop_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_activeloop_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_code_analysis_deeplake.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./python/deeplake/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,240,31,55,[240],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
./python/deeplake/integrations/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ACTIVELOOP_TOKEN',5,22,40,[5],https://bandit.readthedocs.io/en/1.8.3/plugins/b105_hardcoded_password_string.html
./python/deeplake/integrations/mm/mm_runners.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",17,4,12,"[17, 18]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./python/deeplake/integrations/mm/mm_runners.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,45,[35],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mm/mm_runners.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,36,8,47,[36],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mm/mm_runners.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,8,49,[37],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mm/mm_runners.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,8,61,"[45, 46, 47]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,283,4,79,[283],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_dataset_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,687,16,39,[687],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_dataset_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,698,16,49,[698],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_dataset_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,810,8,66,[810],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_dataset_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,811,8,9,"[811, 812, 813, 814, 815]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_utils_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,256,8,71,[256],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_utils_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,258,8,58,"[258, 259, 260]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/mmdet_utils_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,483,8,60,[483],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/test_.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,3,0,13,[3],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b403-import-pickle
./python/deeplake/integrations/mmdet/test_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,44,12,46,[44],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmdet/test_.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",218,29,83,[218],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b301-pickle
./python/deeplake/integrations/mmseg/mmseg_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,247,4,79,[247],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmseg/mmseg_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,619,8,73,"[619, 620, 621]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmseg/mmseg_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,623,12,13,"[623, 624, 625, 626]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmseg/test_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,4,5,"[78, 79, 80, 81]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmseg/test_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,102,12,46,[102],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./python/deeplake/integrations/mmseg/test_.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,195,4,5,"[195, 196, 197, 198]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
