filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./.github/langchain-tests/setup_actions.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,2,0,17,[2],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
./.github/langchain-tests/setup_actions.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,13,8,43,[13],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",36,0,8,"[36, 37]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",42,0,8,"[42, 43]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_code_analysis.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_deeplake.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,43,29,55,[43],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
./.github/langchain-tests/test_activeloop_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_activeloop_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_code_analysis_deeplake.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
